ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
PC,Proto-Cariban,,,,cari1283,
PPar,Proto-Parukotoan,,,,paru1239,
kax,Werikyana,,,,kaxu1237,
PWai,Proto-Waiwaian,,,,waiw1245,
hix,Hixkaryána,,,,hixk1239,
wai,Waiwai,,,,waiw1244,
PPek,Proto-Pekodian,,,,peko1235,
PXin,Proto-Xinguan,,,,xing1247,
ara,Arara,,,,para1310,
ikp,Ikpeng,,,,ikpe1245,
bak,Bakairi,,,,baka1277,
PTar,Proto-Taranoan,,,,tara1324,
PTir,Proto-Tiriyoan,,,,tiri1260,
tri,Tiriyó,,,,trio1238,
aku,Akuriyó,,,,akur1238,
car,Karijona,,,,cari1279,
way,Wayana,,,,waya1269,
apa,Apalaí,,,,apal1257,
kar,Kari'ña,,,,gali1262,
mak,Ye'kwana,,,,maqu1238,
PPP,Proto-Pemong-Panare,,,,pemo1246,
PPem,Proto-Pemongan,,,,pemo1247,
aka,Akawaio,,,,akaw1239,
ing,Ingarikó,,,,inga1250,
pem,Pemón,,,,pemo1248,
mac,Macushi,,,,macu1259,
pan,Panare,,,,enap1235,
tam,Tamanaku,,,,tama1338,
PMan,Proto-Manapiarean,,,,mapo1245,
yab,Yawarana,,,,yaba1248,
map,Mapoyo,,,,mapo1246,
pno,Pémono,,,,pemo1245,
uxc,Upper Xingu Carib,,,,nucl1656,
yuk,Yukpa,,,,yukp1241,
wmr,Waimiri-Atroari,,,,waim1253,
