,PROX.ANIM,PROX.ANIM.PL,MED.ANIM,MED.ANIM.PL,DIST.ANIM,DIST.ANIM.PL,PROX.INAN-1,PROX.INAN-2,PROX.INAN.PL,MED.INAN,MED.INAN.PL,DIST.INAN,DIST.INAN.PL
[lg](PC),[wf](PC-437?nt&no_language),[wf](PC-466?nt&no_language),,,[wf](PC-284?nt&no_language),[wf](PC-308?nt&no_language),[wf](PC-494?nt&no_language),[wf](PC-512?nt&no_language),,[wf](PC-401?nt&no_language),,[wf](PC-331?nt&no_language),
[lg](PPek),[wf](PPek-440?nt&no_language),[wf](PPek-469?nt&no_language),,,[wf](PPek-286?nt&no_language),[wf](PPek-310?nt&no_language),[wf](PPek-497?nt&no_language),[wf](PPek-515?nt&no_language),,[wf](PPek-404?nt&no_language),,[wf](PPek-333?nt&no_language),
[lg](PTar),[wf](PTar-443?nt&no_language),[wf](PTar-470?nt&no_language),[wf](PTar-363?nt&no_language),[wf](PTar-382?nt&no_language),[wf](PTar-288?nt&no_language),[wf](PTar-311?nt&no_language),[wf](PTar-499?nt&no_language),[wf](PTar-516?nt&no_language),,[wf](PTar-407?nt&no_language),,[wf](PTar-334?nt&no_language),
[lg](PPar),[wf](PPar-439?nt&no_language),[wf](PPar-468?nt&no_language),[wf](PPar-360?nt&no_language),[wf](PPar-381?nt&no_language),[wf](PPar-285?nt&no_language),[wf](PPar-309?nt&no_language),[wf](PPar-496?nt&no_language),[wf](PPar-514?nt&no_language),,[wf](PPar-403?nt&no_language),,[wf](PPar-332?nt&no_language),
[lg](pan),[wf](pan-436?nt&no_language),[wf](pan-465?nt&no_language),[wf](pan-358?nt&no_language),[wf](pan-379?nt&no_language),[wf](pan-283?nt&no_language),[wf](pan-307?nt&no_language),[wf](pan-493?nt&no_language),,[wf](pan-532?nt&no_language),[wf](pan-400?nt&no_language),[wf](pan-421?nt&no_language),[wf](pan-330?nt&no_language),
[lg](PPem),[wf](PPem-577?nt&no_language),,[wf](PPem-361?nt&no_language),,[wf](PPem-287?nt&no_language),,[wf](PPem-498?nt&no_language),,,[wf](PPem-405?nt&no_language),,,
[lg](mak),,,[wf](mak-357?nt&no_language),[wf](mak-378?nt&no_language),[wf](mak-282?nt&no_language),[wf](mak-306?nt&no_language),[wf](mak-492?nt&no_language),,,[wf](mak-398?nt&no_language),,[wf](mak-329?nt&no_language),
[lg](tam),[wf](tam-446?nt&no_language),[wf](tam-473?nt&no_language),[wf](tam-365?nt&no_language),[wf](tam-383?nt&no_language),[wf](tam-291?nt&no_language),[wf](tam-314?nt&no_language),,[wf](tam-519?nt&no_language),,[wf](tam-410?nt&no_language),,,
[lg](kar),[wf](kar-432?nt&no_language),[wf](kar-460?nt&no_language) / [wf](kar-461?nt&no_language) / [wf](kar-462?nt&no_language),[wf](kar-354?nt&no_language),[wf](kar-375?nt&no_language),[wf](kar-280?nt&no_language),[wf](kar-304?nt&no_language) / [wf](kar-305?nt&no_language),[wf](kar-489?nt&no_language),[wf](kar-510?nt&no_language),[wf](kar-529?nt&no_language) / [wf](kar-530?nt&no_language),[wf](kar-395?nt&no_language),[wf](kar-419?nt&no_language),[wf](kar-327?nt&no_language),[wf](kar-344?nt&no_language)
[lg](way),[wf](way-450?nt&no_language) / [wf](way-451?nt&no_language),[wf](way-477?nt&no_language) / [wf](way-478?nt&no_language),[wf](way-368?nt&no_language),[wf](way-385?nt&no_language),[wf](way-295?nt&no_language),[wf](way-318?nt&no_language),[wf](way-503?nt&no_language),[wf](way-522?nt&no_language),[wf](way-533?nt&no_language) / [wf](way-534?nt&no_language),[wf](way-414?nt&no_language),[wf](way-423?nt&no_language),[wf](way-339?nt&no_language),[wf](way-346?nt&no_language)
[lg](apa),[wf](apa-426?nt&no_language),[wf](apa-455?nt&no_language),[wf](apa-349?nt&no_language),[wf](apa-370?nt&no_language),[wf](apa-272?nt&no_language),[wf](apa-299?nt&no_language),[wf](apa-484?nt&no_language),[wf](apa-505?nt&no_language),[wf](apa-524?nt&no_language) / [wf](apa-525?nt&no_language),[wf](apa-389?nt&no_language),[wf](apa-417?nt&no_language),[wf](apa-321?nt&no_language),[wf](apa-342?nt&no_language)
[lg](yuk),[wf](yuk-453?nt&no_language),[wf](yuk-480?nt&no_language),,,[wf](yuk-298?nt&no_language),[wf](yuk-320?nt&no_language),,,,,,,
[lg](uxc),[wf](uxc-448?nt&no_language),[wf](uxc-475?nt&no_language),,,[wf](uxc-293?nt&no_language),[wf](uxc-316?nt&no_language),[wf](uxc-502?nt&no_language),,,[wf](uxc-412?nt&no_language),,,
