,[lg](PPem),[lg](aka),[lg](ing),[lg](pem),[lg](mac)
PROX.ANIM,[wf](PPem-577?nt&no_language),,,[wf](pem-438?nt&no_language),[wf](mac-434?nt&no_language)
PROX.ANIM.PL,,,,[wf](pem-467?nt&no_language),[wf](mac-464?nt&no_language)
MED.ANIM,[wf](PPem-361?nt&no_language),[wf](aka-347?nt&no_language),[wf](ing-353?nt&no_language),[wf](pem-359?nt&no_language),[wf](mac-356?nt&no_language)
MED.ANIM.PL,,,[wf](ing-373?nt&no_language) / [wf](ing-374?nt&no_language),[wf](pem-380?nt&no_language),[wf](mac-377?nt&no_language)
DIST.ANIM,[wf](PPem-287?nt&no_language),,[wf](ing-279?nt&no_language),,
PROX.INAN-1,[wf](PPem-498?nt&no_language),[wf](aka-482?nt&no_language),[wf](ing-488?nt&no_language),[wf](pem-495?nt&no_language),[wf](mac-491?nt&no_language)
PROX.INAN-2,,,,[wf](pem-513?nt&no_language),[wf](mac-511?nt&no_language)
PROX.INAN.PL,,,[wf](ing-528?nt&no_language),,
MED.INAN,[wf](PPem-405?nt&no_language),[wf](aka-387?nt&no_language),[wf](ing-394?nt&no_language),[wf](pem-402?nt&no_language),[wf](mac-397?nt&no_language)
MED.INAN.PL,,,[wf](ing-418?nt&no_language),,
