"ID","Form","Description"
"1","əwɨ","First person"
"EMP","rə","Emphatic particle"
"?",,"Unknown material"
"2","əmə","Second person"
"1a3","apina","First person exclusive"
"ti","ti","Pekodian prefix in 1+3"
"1a2","kɨ","First person inclusive"
"PL-1","komo","Plural marker"
"uku","uku","First person inclusive"
"PL-2","jamə","Plural marker"
"toto","toto","3PL"
"a.anim","inərə","Third person anaphoric"
"a.inan","irə","Third person anaphoric, inanimate"
"d.inan","mənɨ",
"p.anim","mətjə",
"m.anim","məkɨ",
"m.inan","mərə",
"p.inan-1","(tj)ərə","Third person inanimate proximal demonstrative 1"
"p.inan-2","(tj)ənɨ","Third person inanimate proximal demonstrative 2"
"PL-4","ʔne","Apalai PL"
"PL-3","tomo","Plural marker"
"wform","wɨ","Formative"
"hform","hɨ","Formative"
"mform","mə","Formative"
"1a2ep","epɨnə","Tentative, maybe multimorphemic"
